id,datetime,weekday,hour,minutes,day,month,year,day_period,seasson,acc_cause,meteo_condition,road_condition,nr_injured,nr_dead,nr_vehicles,lat,lon
170,2023-02-03 02:50:00,4,2,50,3,2,2023,Late Night,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Umedă,2,1,1,198283.44383807,310463.80636741
171,2023-02-03 08:30:00,4,8,30,3,2,2023,Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Uscată,1,0,1,226990.79757194,202842.5621281
172,2023-02-03 22:29:00,4,22,29,3,2,2023,Late Evening,Winter,Depășire neregulamentară,Timp senin,Uscată,1,0,2,221376.64397332,219679.58483596
173,2023-02-04 06:45:00,5,6,45,4,2,2023,Morning,Winter,Conducere imprudentă,Timp senin,Uscată,1,0,1,265688.42092426,183397.01553947
174,2023-02-04 01:10:00,5,1,10,4,2,2023,Late Night,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Înnourat,Umedă,3,0,2,230920.98022722,210732.86634309
175,2023-02-04 10:53:00,5,10,53,4,2,2023,Late Morning,Winter,Traversare neregulamentară a drumului de către pietoni,Timp senin,Uscată,1,0,1,181103.8945453,277600.0027792
176,2023-02-05 09:57:00,6,9,57,5,2,2023,Late Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,1,231978.11429906,206061.72148379
177,2023-02-05 02:35:00,6,2,35,5,2,2023,Late Night,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Umedă,1,0,1,187851.24882403,304028.44870379
178,2023-02-05 08:00:00,6,8,0,5,2,2023,Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Ghețuș,1,0,2,223105.81254713,129691.48231069
179,2023-02-06 06:05:00,0,6,5,6,2,2023,Morning,Winter,Traversare neregulamentară a drumului de către pietoni,Înnourat,Umedă,1,0,1,233899.7957346,210809.71085501
180,2023-02-06 00:50:00,0,0,50,6,2,2023,Late Night,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Umedă,2,0,2,233635.45510012,207750.19795926
181,2023-02-06 09:34:00,0,9,34,6,2,2023,Late Morning,Winter,Traversare neregulamentară a drumului de către pietoni,Timp senin,Umedă,1,0,1,234976.75387175,207854.9744286
182,2023-02-06 09:40:00,0,9,40,6,2,2023,Late Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Umedă,2,0,2,172173.18388412,282369.57868551
183,2023-02-07 07:55:00,1,7,55,7,2,2023,Morning,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,232977.60844947,209006.61451223
184,2023-02-07 10:55:00,1,10,55,7,2,2023,Late Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Umedă,1,0,1,234885.21242144,213153.98214559
185,2023-02-08 20:40:00,2,20,40,8,2,2023,Evening,Winter,Alte abateri comise de conducătorii auto,Timp senin,Umedă,3,0,1,308904.32112107,155458.66216653
186,2023-02-08 07:52:00,2,7,52,8,2,2023,Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,2,0,1,235401.78120234,205387.32315496
187,2023-02-08 10:45:00,2,10,45,8,2,2023,Late Morning,Winter,Nerespectarea distanței dintre vehicule,Timp senin,Uscată,1,0,2,234447.29682637,205149.59502972
188,2023-02-08 17:50:00,2,17,50,8,2,2023,Early Afternoon,Winter,Neacordarea priorității pietonilor,Înnourat,Uscată,1,0,1,235260.8905772,212743.40128747
189,2023-02-09 20:20:00,3,20,20,9,2,2023,Evening,Winter,Deplasarea pietonilor pe partea dreaptă a drumului,Timp senin,Uscată,0,1,1,263144.42875059,193604.29198499
190,2023-02-09 08:55:00,3,8,55,9,2,2023,Morning,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,237030.43236542,208376.07461028
191,2023-02-09 09:14:00,3,9,14,9,2,2023,Late Morning,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,233679.03031176,211581.26285089
192,2023-02-09 15:30:00,3,15,30,9,2,2023,Early Afternoon,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,165335.13628669,290784.16714086
193,2023-02-10 12:21:00,4,12,21,10,2,2023,Afternoon,Winter,Alte abateri comise de conducătorii auto,Timp senin,Ghețuș,1,0,3,194059.31493585,330026.96693571
194,2023-02-08 10:35:00,2,10,35,8,2,2023,Late Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,235008.87495194,208084.68409521
195,2023-02-10 10:20:00,4,10,20,10,2,2023,Late Morning,Winter,Alte abateri comise de conducătorii auto,Timp senin,Uscată,1,0,1,220438.54690821,128512.0672642
196,2023-02-08 15:40:00,2,15,40,8,2,2023,Early Afternoon,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,236634.37573485,211416.54894236
197,2023-02-10 08:14:00,4,8,14,10,2,2023,Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,237054.740572,207593.58449564
198,2023-02-08 15:15:00,2,15,15,8,2,2023,Early Afternoon,Winter,Nerespectarea distanței dintre vehicule,Timp senin,Uscată,1,0,3,233907.05073207,210801.78956674
199,2023-02-10 09:48:00,4,9,48,10,2,2023,Late Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,234948.73075349,207625.57732331
200,2023-02-08 01:20:00,2,1,20,8,2,2023,Late Night,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Umedă,0,1,1,253486.35797861,218331.74855879
201,2023-02-10 10:40:00,4,10,40,10,2,2023,Late Morning,Winter,Imprudența copiilor (7-14 ani),Timp senin,Uscată,1,0,1,233189.6619982,205142.1810375
202,2023-02-08 18:30:00,2,18,30,8,2,2023,Evening,Winter,"Stare de ebrietate alcoolică, adormire la volan",Înnourat,Umedă,1,1,2,183129.79657871,73908.34059896
203,2023-02-10 13:01:00,4,13,1,10,2,2023,Afternoon,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,234946.50229149,205372.54620554
204,2023-02-08 14:25:00,2,14,25,8,2,2023,Afternoon,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,"Ghețuș, prelucrat cu material antiderapant",3,0,1,105348.64649936,341832.89868478
205,2023-02-10 13:21:00,4,13,21,10,2,2023,Afternoon,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,232729.85619549,208952.35870919
206,2023-02-08 15:02:00,2,15,2,8,2,2023,Early Afternoon,Winter,Traversare neregulamentară a drumului de către pietoni,Înnourat,Umedă,1,0,1,162607.73799182,292634.86527381
207,2023-02-10 13:39:00,4,13,39,10,2,2023,Afternoon,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,1,230318.7683598,211555.19752659
208,2023-02-11 06:10:00,5,6,10,11,2,2023,Morning,Winter,"Stare de oboseală avansată, adormire la volan",Timp senin,Umedă,1,0,1,231127.49878702,247609.26620372
209,2023-02-10 21:10:00,4,21,10,10,2,2023,Late Evening,Winter,"Stare de ebrietate alcoolică, adormire la volan",Timp senin,Uscată,1,0,1,165885.71516907,290304.52416942
210,2023-02-11 10:57:00,5,10,57,11,2,2023,Late Morning,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,2,0,2,226187.99253198,212028.62866743
211,2023-02-12 12:21:00,6,12,21,12,2,2023,Afternoon,Winter,Nerespectarea distanței dintre vehicule,Timp senin,Uscată,1,0,2,237047.12399759,204735.68970803
212,2023-02-10 08:55:00,4,8,55,10,2,2023,Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,2,0,4,236827.40192523,211308.80310253
213,2023-02-13 01:10:00,0,1,10,13,2,2023,Late Night,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,234795.40192316,205504.50622161
214,2023-02-13 10:07:00,0,10,7,13,2,2023,Late Morning,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Timp senin,Uscată,1,0,2,231200.84194739,211036.21247438
215,2023-02-13 09:30:00,0,9,30,13,2,2023,Late Morning,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,228957.78767375,210949.82721607
216,2023-02-13 12:00:00,0,12,0,13,2,2023,Afternoon,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,2,193640.6635547,337669.415677
217,2023-02-12 14:16:00,6,14,16,12,2,2023,Afternoon,Winter,Depășire neregulamentară,Timp senin,Uscată,1,1,2,229796.8645289,213469.69193148
218,2023-02-12 13:50:00,6,13,50,12,2,2023,Afternoon,Winter,"Stare de ebrietate alcoolică, adormire la volan",Înnourat,Umedă,1,0,1,203700.75290847,295001.27385148
219,2023-02-13 13:00:00,0,13,0,13,2,2023,Afternoon,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,233109.08859497,208081.39366978
220,2023-02-13 14:10:00,0,14,10,13,2,2023,Afternoon,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,1,232092.29484393,210507.49054726
221,2023-02-13 18:00:00,0,18,0,13,2,2023,Evening,Winter,Neacordarea priorității pietonilor,Înnourat,Uscată,1,0,1,232778.49171963,208584.82960779
222,2023-02-12 01:50:00,6,1,50,12,2,2023,Late Night,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,1,157775.95287128,289358.10545528
223,2023-02-14 06:40:00,1,6,40,14,2,2023,Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,0,1,1,161858.57114454,275410.49449729
224,2023-02-13 20:55:00,0,20,55,13,2,2023,Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Umedă,2,0,2,305508.11757509,160881.44674662
225,2023-02-15 01:29:00,2,1,29,15,2,2023,Late Night,Winter,"Stare de ebrietate alcoolică, adormire la volan",Înnourat,Uscată,1,0,1,227850.28956569,213109.22586461
226,2023-02-14 23:35:00,1,23,35,14,2,2023,Late Evening,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,2,232211.84655719,209308.48697202
227,2023-02-15 08:07:00,2,8,7,15,2,2023,Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,231654.77593809,211169.90025186
228,2023-02-15 09:22:00,2,9,22,15,2,2023,Late Morning,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,233917.75323955,212538.19513748
229,2023-02-14 06:00:00,1,6,0,14,2,2023,Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Umedă,1,0,1,192989.01788334,333538.40755316
230,2023-02-14 15:50:00,1,15,50,14,2,2023,Early Afternoon,Winter,"Stare de ebrietate alcoolică, adormire la volan",Timp senin,Uscată,1,0,1,132853.45061995,363655.39223517
